id,subject_name,latitude,longitude,measured_at
27,김민수,35.277,126.511,2026-08-06 09:00:00
26,김민수,35.275,126.51,2026-08-06 09:10:00
29,이서준,35.066,126.516,2026-08-06 09:02:00
28,이서준,35.0645,126.5175,2026-08-06 09:12:00
31,박지우,34.8055,126.392,2026-08-06 09:04:00
30,박지우,34.807,126.394,2026-08-06 09:14:00
33,최영수,35.015,126.71,2026-08-06 09:06:00
32,최영수,35.017,126.712,2026-08-06 09:16:00
35,정하은,34.99,126.478,2026-08-06 09:08:00
34,정하은,34.992,126.48,2026-08-06 09:18:00
37,한동우,34.573,126.598,2026-08-06 09:20:00
36,한동우,34.575,126.6,2026-08-06 09:30:00
39,윤서아,35.301,126.784,2026-08-06 09:22:00
38,윤서아,35.303,126.786,2026-08-06 09:32:00
41,임정희,35.321,126.988,2026-08-06 09:24:00
40,임정희,35.323,126.99,2026-08-06 09:34:00
43,송유진,35.064,126.986,2026-08-06 09:26:00
42,송유진,35.066,126.988,2026-08-06 09:36:00
45,오성민,34.8,126.697,2026-08-06 09:28:00
44,오성민,34.802,126.699,2026-08-06 09:38:00
